<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.10.08,18:00:00,2621.12,2621.17,2604.84,2613.04,36163,0,100
2024.10.08,19:00:00,2613.035,2616.27,2606.695,2609.035,17651,0,100
2024.10.08,20:00:00,2609.035,2618.215,2605.585,2614.595,13756,0,100
2024.10.08,21:00:00,2614.595,2617.075,2613.9,2615.825,8832,0,100
2024.10.08,22:00:00,2615.825,2623.74,2614.995,2623.095,9053,0,100
2024.10.08,23:00:00,2623.165,2623.225,2619,2621.98,3884,0,100
2024.10.09,1:00:00,2621.995,2622.305,2620.67,2622.08,960,0,100
2024.10.09,2:00:00,2622.08,2623.815,2621.25,2622.02,4022,0,100
2024.10.09,3:00:00,2622.005,2623.3,2621.11,2621.32,7086,0,100
2024.10.09,4:00:00,2621.29,2624.325,2618.43,2620.125,21850,0,100
2024.10.09,5:00:00,2620.105,2620.445,2616.935,2618.49,17621,0,100
2024.10.09,6:00:00,2618.485,2619.03,2614.985,2617.2,12876,0,100
2024.10.09,7:00:00,2617.2,2618.64,2615.515,2616.065,3405,0,100
2024.10.09,8:00:00,2616.065,2624.375,2615.76,2619.735,19443,0,100
2024.10.09,9:00:00,2619.73,2619.73,2610.69,2612.79,21105,0,100
2024.10.09,10:00:00,2612.785,2615.715,2609.275,2611.725,20160,0,100
2024.10.09,11:00:00,2611.735,2617.455,2610.57,2616.365,18137,0,100
2024.10.09,12:00:00,2616.365,2618.665,2614.76,2618.125,13753,0,100
2024.10.09,13:00:00,2618.125,2621.54,2616.115,2621.125,12745,0,100
2024.10.09,14:00:00,2621.15,2622.46,2617.04,2619.1,14801,0,100
2024.10.09,15:00:00,2619.105,2622.39,2615.5,2618.935,24519,0,100
2024.10.09,16:00:00,2618.945,2620.78,2606.97,2609.74,43388,0,100
2024.10.09,17:00:00,2609.735,2611.985,2605.2,2609.905,36062,0,100
2024.10.09,18:00:00,2609.895,2617.95,2609.545,2614.84,25005,0,100
2024.10.09,19:00:00,2614.85,2615.915,2607.895,2608.76,16734,0,100
2024.10.09,20:00:00,2608.76,2610.025,2606.555,2609.95,12969,0,100
2024.10.09,21:00:00,2610.02,2611.11,2605.225,2606.355,11370,0,100
2024.10.09,22:00:00,2606.36,2610.27,2606.34,2609.24,6271,0,100
2024.10.09,23:00:00,2609.23,2609.53,2606.945,2607.84,2234,0,100
2024.10.10,1:00:00,2607.75,2608.955,2607.57,2608.915,1261,0,100
2024.10.10,2:00:00,2608.915,2609.45,2607.95,2608.42,1831,0,100
2024.10.10,3:00:00,2608.42,2610.21,2606.015,2609.345,9236,0,100
2024.10.10,4:00:00,2609.34,2612.595,2606.885,2609.18,18626,0,100
2024.10.10,5:00:00,2609.175,2615.725,2608.015,2615.325,18713,0,100
2024.10.10,6:00:00,2615.325,2616.965,2611.515,2611.81,14161,0,100
2024.10.10,7:00:00,2611.805,2614.76,2611.62,2613.99,6540,0,100
2024.10.10,8:00:00,2614.01,2615.58,2612.53,2613.44,13467,0,100
2024.10.10,9:00:00,2613.425,2616.48,2610.66,2612.55,16370,0,100
2024.10.10,10:00:00,2612.555,2617.065,2610.355,2616.755,23268,0,100
2024.10.10,11:00:00,2616.755,2617.425,2613.6,2615.535,12633,0,100
2024.10.10,12:00:00,2615.54,2618.56,2614.385,2617.245,11713,0,100
2024.10.10,13:00:00,2617.25,2618.51,2615.63,2618.015,10050,0,100
2024.10.10,14:00:00,2618.01,2618.925,2611.335,2613.09,15726,0,100
2024.10.10,15:00:00,2613.13,2627.405,2604.365,2625.125,41511,0,100
2024.10.10,16:00:00,2625.12,2628.005,2615.655,2626.775,50049,0,100
2024.10.10,17:00:00,2626.76,2629.88,2622.735,2625.5,34625,0,100
2024.10.10,18:00:00,2625.5,2626.3,2618.915,2623.64,23216,0,100
2024.10.10,19:00:00,2623.645,2629.19,2618.815,2619.375,18449,0,100
2024.10.10,20:00:00,2619.375,2626.315,2616.615,2623.93,18138,0,100
2024.10.10,21:00:00,2623.93,2629.19,2623.48,2626.56,9182,0,100
2024.10.10,22:00:00,2626.505,2631.475,2626.06,2629.27,7650,0,100
2024.10.10,23:00:00,2629.285,2631.585,2628.875,2630.165,2220,0,100
2024.10.11,1:00:00,2628.56,2629.225,2628.19,2628.325,1336,0,100
2024.10.11,2:00:00,2628.345,2636.005,2628.34,2633.245,5645,0,100
2024.10.11,3:00:00,2633.245,2634.46,2632.13,2633.895,10917,0,100
2024.10.11,4:00:00,2633.895,2638.08,2632.985,2637.875,17970,0,100
2024.10.11,5:00:00,2637.86,2644.185,2635.335,2642.47,15895,0,100
2024.10.11,6:00:00,2642.46,2646.135,2640.735,2645.59,11562,0,100
2024.10.11,7:00:00,2645.59,2646.115,2643.965,2645.69,5602,0,100
2024.10.11,8:00:00,2645.645,2646.075,2643.24,2644.815,9285,0,100
2024.10.11,9:00:00,2644.835,2647.245,2638.09,2639.57,20678,0,100
2024.10.11,10:00:00,2639.495,2645.595,2638.38,2645.445,15735,0,100
2024.10.11,11:00:00,2645.445,2646.195,2639.14,2639.27,11439,0,100
2024.10.11,12:00:00,2639.275,2641.745,2636.245,2637.98,12785,0,100
2024.10.11,13:00:00,2637.965,2642.31,2637.14,2641.695,10515,0,100
2024.10.11,14:00:00,2641.68,2644.87,2638.75,2644.76,11415,0,100
2024.10.11,15:00:00,2644.755,2650.21,2640.635,2643.065,28828,0,100
2024.10.11,16:00:00,2643.215,2653.45,2642.715,2649.855,31716,0,100
2024.10.11,17:00:00,2649.855,2655.355,2646.465,2653.145,36135,0,100
2024.10.11,18:00:00,2653.145,2659.365,2653.14,2658.895,15503,0,100
2024.10.11,19:00:00,2658.895,2661.475,2657.96,2660.515,12259,0,100
2024.10.11,20:00:00,2660.535,2661.255,2656.33,2659.635,11593,0,100
2024.10.11,21:00:00,2659.665,2659.665,2656.125,2658.74,6128,0,100
2024.10.11,22:00:00,2658.735,2658.93,2655.335,2656.2,4332,0,100
2024.10.11,23:00:00,2656.25,2657.475,2654.805,2657.365,2703,0,100
2024.10.14,1:00:00,2649.89,2652.65,2646.93,2650.36,3540,0,100
2024.10.14,2:00:00,2650.36,2650.75,2647.655,2648.125,4995,0,100
2024.10.14,3:00:00,2648.125,2648.455,2645.21,2646.775,7831,0,100
2024.10.14,4:00:00,2646.78,2648.555,2643.59,2646.195,20392,0,100
2024.10.14,5:00:00,2646.185,2655.52,2643.255,2655.2,18463,0,100
2024.10.14,6:00:00,2655.205,2657.425,2653.81,2655.62,11102,0,100
2024.10.14,7:00:00,2655.62,2660.415,2655.3,2659.235,4299,0,100
2024.10.14,8:00:00,2659.24,2660.79,2657.185,2659.01,9180,0,100
2024.10.14,9:00:00,2659.015,2666.86,2657.47,2664.165,19394,0,100
2024.10.14,10:00:00,2664.17,2665.28,2659.19,2660.57,15875,0,100
2024.10.14,11:00:00,2660.525,2662.045,2658.33,2659.5,13415,0,100
2024.10.14,12:00:00,2659.5,2663.06,2656.88,2658.59,9906,0,100
2024.10.14,13:00:00,2658.575,2660.95,2655.895,2655.905,7393,0,100
2024.10.14,14:00:00,2655.91,2656.865,2651.155,2652.195,10173,0,100
2024.10.14,15:00:00,2652.195,2654.615,2649.35,2651.405,21801,0,100
2024.10.14,16:00:00,2651.415,2661.305,2647.79,2655.505,34421,0,100
2024.10.14,17:00:00,2655.52,2657.08,2644.79,2645.74,29510,0,100
2024.10.14,18:00:00,2645.77,2649.195,2644.09,2646.81,12985,0,100
2024.10.14,19:00:00,2646.81,2649.795,2645.94,2648.615,5919,0,100
2024.10.14,20:00:00,2648.615,2649.94,2647.29,2648.66,4381,0,100
2024.10.14,21:00:00,2648.655,2651.05,2648.51,2649.285,3091,0,100
2024.10.14,22:00:00,2649.285,2652.705,2647.11,2652.595,7758,0,100
2024.10.14,23:00:00,2652.675,2653.41,2646.145,2648.8,2783,0,100
2024.10.15,1:00:00,2649.2,2650.38,2648.22,2650.095,1514,0,100
2024.10.15,2:00:00,2650.1,2651.025,2649.045,2649.44,2674,0,100
2024.10.15,3:00:00,2649.435,2650.255,2647.815,2648.235,7730,0,100
2024.10.15,4:00:00,2648.235,2651.295,2647.26,2648.45,11413,0,100
2024.10.15,5:00:00,2648.455,2652.79,2648.175,2651.725,13555,0,100
2024.10.15,6:00:00,2651.73,2651.755,2644.5,2645.685,13129,0,100
2024.10.15,7:00:00,2645.72,2645.735,2643.005,2644.45,9096,0,100
2024.10.15,8:00:00,2644.45,2644.45,2638.06,2641.985,19030,0,100
2024.10.15,9:00:00,2641.98,2649.21,2641.42,2648.72,23790,0,100
2024.10.15,10:00:00,2648.715,2653.95,2647.975,2650.795,19520,0,100
2024.10.15,11:00:00,2650.795,2655.825,2649.84,2654.03,16263,0,100
2024.10.15,12:00:00,2654.025,2655.59,2651.16,2653.575,14208,0,100
2024.10.15,13:00:00,2653.565,2656.815,2652.695,2653.075,13940,0,100
2024.10.15,14:00:00,2653.09,2654.615,2645.65,2647.82,18206,0,100
2024.10.15,15:00:00,2647.805,2657.51,2647.29,2648.355,29646,0,100
2024.10.15,16:00:00,2648.315,2653.375,2646.065,2648.64,41426,0,100
2024.10.15,17:00:00,2648.65,2664.255,2647.83,2659.85,41740,0,100
2024.10.15,18:00:00,2659.86,2665.23,2657.38,2664.68,21813,0,100
2024.10.15,19:00:00,2664.675,2668.97,2661.22,2661.935,15246,0,100
2024.10.15,20:00:00,2661.92,2664.27,2659.005,2663.675,14983,0,100
2024.10.15,21:00:00,2663.675,2665.92,2663.425,2665.18,7965,0,100
2024.10.15,22:00:00,2665.18,2666.565,2659.495,2661.795,8462,0,100
2024.10.15,23:00:00,2661.74,2663.175,2660.33,2662.73,2999,0,100
2024.10.16,1:00:00,2662.295,2662.875,2661.58,2662.22,960,0,100
