<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.09.18,13:15:00,2571.53,2575.37,2571.46,2575.37,2462,0,100
2024.09.18,13:30:00,2575.365,2577.56,2575.185,2576.295,3651,0,100
2024.09.18,13:45:00,2576.295,2578.175,2575.67,2576.19,2636,0,100
2024.09.18,14:00:00,2576.215,2577.21,2575.14,2576.61,2398,0,100
2024.09.18,14:15:00,2576.585,2577.945,2576.4,2577.32,1745,0,100
2024.09.18,14:30:00,2577.32,2580.19,2576.655,2579.995,2673,0,100
2024.09.18,14:45:00,2580,2580.765,2576.51,2577.49,3355,0,100
2024.09.18,15:00:00,2577.545,2578.94,2576.305,2576.41,3537,0,100
2024.09.18,15:15:00,2576.415,2577.72,2575.46,2576.22,3472,0,100
2024.09.18,15:30:00,2576.19,2576.255,2573.595,2575.18,4021,0,100
2024.09.18,15:45:00,2575.18,2576.97,2574.21,2576.31,3792,0,100
2024.09.18,16:00:00,2576.315,2578.57,2576.005,2577.685,3791,0,100
2024.09.18,16:15:00,2577.68,2578.465,2576.325,2577.585,4776,0,100
2024.09.18,16:30:00,2577.595,2578.645,2571.91,2573.36,6033,0,100
2024.09.18,16:45:00,2573.355,2574.83,2568.665,2571.86,8521,0,100
2024.09.18,17:00:00,2571.895,2574.93,2570.05,2571.545,7525,0,100
2024.09.18,17:15:00,2571.54,2571.845,2568.07,2569.03,6878,0,100
2024.09.18,17:30:00,2569.045,2571.37,2568.385,2569.445,5754,0,100
2024.09.18,17:45:00,2569.44,2572.11,2569.435,2571.715,4776,0,100
2024.09.18,18:00:00,2571.74,2574.525,2569.965,2571.355,4394,0,100
2024.09.18,18:15:00,2571.345,2573.335,2570.7,2572.57,2859,0,100
2024.09.18,18:30:00,2572.565,2573.425,2568.655,2569.375,2439,0,100
2024.09.18,18:45:00,2569.265,2570.255,2568.16,2569.79,2857,0,100
2024.09.18,19:00:00,2569.815,2571.235,2568.97,2571.13,2470,0,100
2024.09.18,19:15:00,2571.12,2572.105,2570.53,2571.865,2376,0,100
2024.09.18,19:30:00,2571.86,2572.45,2570.955,2572.02,1577,0,110
2024.09.18,19:45:00,2572,2575.285,2571.575,2574.975,1796,0,100
2024.09.18,20:00:00,2574.975,2574.975,2572.505,2572.525,2594,0,100
2024.09.18,20:15:00,2572.525,2573.25,2570.595,2572.095,2347,0,100
2024.09.18,20:30:00,2572.045,2573.6,2570.69,2571.055,2320,0,100
